model_key,resolution,aspect_ratio,duration_seconds,width,height,fps,video_tokens,unit_price_usd,api_cost_usd,cost_in_credits,cooly_credit_charge,final_price_credits
seedance-1-0-lite,720p,3:4,9,540,720,24,82012.5,0.0000018,0.148,73.811,110.72,120
seedance-1-0-lite,720p,3:4,10,540,720,24,91125,0.0000018,0.164,82.013,123.02,130
seedance-1-0-lite,720p,3:4,11,540,720,24,100237.5,0.0000018,0.180,90.214,135.32,140
seedance-1-0-lite,720p,3:4,12,540,720,24,109350,0.0000018,0.197,98.415,147.62,150
seedance-1-0-lite,720p,9:16,3,720,1280,24,64800,0.0000018,0.117,58.320,87.48,90
seedance-1-0-lite,720p,9:16,4,720,1280,24,86400,0.0000018,0.156,77.760,116.64,120
seedance-1-0-lite,720p,9:16,5,720,1280,24,108000,0.0000018,0.194,97.200,145.80,150
seedance-1-0-lite,720p,9:16,6,720,1280,24,129600,0.0000018,0.233,116.640,174.96,180
seedance-1-0-lite,720p,9:16,7,720,1280,24,151200,0.0000018,0.272,136.080,204.12,210
seedance-1-0-lite,720p,9:16,8,720,1280,24,172800,0.0000018,0.311,155.520,233.28,240
seedance-1-0-lite,720p,9:16,9,720,1280,24,194400,0.0000018,0.350,174.960,262.44,270
seedance-1-0-lite,720p,9:16,10,720,1280,24,216000,0.0000018,0.389,194.400,291.60,300
seedance-1-0-lite,720p,9:16,11,720,1280,24,237600,0.0000018,0.428,213.840,320.76,330
seedance-1-0-lite,720p,9:16,12,720,1280,24,259200,0.0000018,0.467,233.280,349.92,350
seedance-1-0-lite,720p,21:9,3,1680,720,24,85050,0.0000018,0.153,76.545,114.82,120
seedance-1-0-lite,720p,21:9,4,1680,720,24,113400,0.0000018,0.204,102.060,153.09,160
seedance-1-0-lite,720p,21:9,5,1680,720,24,141750,0.0000018,0.255,127.575,191.36,200
seedance-1-0-lite,720p,21:9,6,1680,720,24,170100,0.0000018,0.306,153.090,229.64,230
seedance-1-0-lite,720p,21:9,7,1680,720,24,198450,0.0000018,0.357,178.605,267.91,270
seedance-1-0-lite,720p,21:9,8,1680,720,24,226800,0.0000018,0.408,204.120,306.18,310
seedance-1-0-lite,720p,21:9,9,1680,720,24,255150,0.0000018,0.459,229.635,344.45,350
seedance-1-0-lite,720p,21:9,10,1680,720,24,283500,0.0000018,0.510,255.150,382.73,390
seedance-1-0-lite,720p,21:9,11,1680,720,24,311850,0.0000018,0.561,280.665,421.00,430
seedance-1-0-lite,720p,21:9,12,1680,720,24,340200,0.0000018,0.612,306.180,459.27,460
seedance-1-0-lite,1080p,16:9,3,1920,1080,24,145800,0.0000018,0.262,131.220,196.83,200
seedance-1-0-lite,1080p,16:9,4,1920,1080,24,194400,0.0000018,0.350,174.960,262.44,270
seedance-1-0-lite,1080p,16:9,5,1920,1080,24,243000,0.0000018,0.437,218.700,328.05,330
seedance-1-0-lite,1080p,16:9,6,1920,1080,24,291600,0.0000018,0.525,262.440,393.66,400
seedance-1-0-lite,1080p,16:9,7,1920,1080,24,340200,0.0000018,0.612,306.180,459.27,460
seedance-1-0-lite,1080p,16:9,8,1920,1080,24,388800,0.0000018,0.700,349.920,524.88,530
seedance-1-0-lite,1080p,16:9,9,1920,1080,24,437400,0.0000018,0.787,393.660,590.49,600
seedance-1-0-lite,1080p,16:9,10,1920,1080,24,486000,0.0000018,0.875,437.400,656.10,660
seedance-1-0-lite,1080p,16:9,11,1920,1080,24,534600,0.0000018,0.962,481.140,721.71,730
seedance-1-0-lite,1080p,16:9,12,1920,1080,24,583200,0.0000018,1.050,524.880,787.32,790
seedance-1-0-lite,1080p,4:3,3,1440,1080,24,109350,0.0000018,0.197,98.415,147.62,150
seedance-1-0-lite,1080p,4:3,4,1440,1080,24,145800,0.0000018,0.262,131.220,196.83,200
seedance-1-0-lite,1080p,4:3,5,1440,1080,24,182250,0.0000018,0.328,164.025,246.04,250
seedance-1-0-lite,1080p,4:3,6,1440,1080,24,218700,0.0000018,0.394,196.830,295.25,300
seedance-1-0-lite,1080p,4:3,7,1440,1080,24,255150,0.0000018,0.459,229.635,344.45,350
seedance-1-0-lite,1080p,4:3,8,1440,1080,24,291600,0.0000018,0.525,262.440,393.66,400
seedance-1-0-lite,1080p,4:3,9,1440,1080,24,328050,0.0000018,0.590,295.245,442.87,450
seedance-1-0-lite,1080p,4:3,10,1440,1080,24,364500,0.0000018,0.656,328.050,492.08,500
seedance-1-0-lite,1080p,4:3,11,1440,1080,24,400950,0.0000018,0.722,360.855,541.28,550
seedance-1-0-lite,1080p,4:3,12,1440,1080,24,437400,0.0000018,0.787,393.660,590.49,600
seedance-1-0-lite,1080p,1:1,3,1080,1080,24,82012.5,0.0000018,0.148,73.811,110.72,120
seedance-1-0-lite,1080p,1:1,4,1080,1080,24,109350,0.0000018,0.197,98.415,147.62,150
seedance-1-0-lite,1080p,1:1,5,1080,1080,24,136687.5,0.0000018,0.246,123.019,184.53,190
seedance-1-0-lite,1080p,1:1,6,1080,1080,24,164025,0.0000018,0.295,147.623,221.43,230
seedance-1-0-lite,1080p,1:1,7,1080,1080,24,191362.5,0.0000018,0.344,172.226,258.34,260
seedance-1-0-lite,1080p,1:1,8,1080,1080,24,218700,0.0000018,0.394,196.830,295.25,300
seedance-1-0-lite,1080p,1:1,9,1080,1080,24,246037.5,0.0000018,0.443,221.434,332.15,340
seedance-1-0-lite,1080p,1:1,10,1080,1080,24,273375,0.0000018,0.492,246.038,369.06,370
seedance-1-0-lite,1080p,1:1,11,1080,1080,24,300712.5,0.0000018,0.541,270.641,405.96,410
seedance-1-0-lite,1080p,1:1,12,1080,1080,24,328050,0.0000018,0.590,295.245,442.87,450
seedance-1-0-lite,1080p,3:4,3,810,1080,24,61509.375,0.0000018,0.111,55.358,83.04,90
seedance-1-0-lite,1080p,3:4,4,810,1080,24,82012.5,0.0000018,0.148,73.811,110.72,120
seedance-1-0-lite,1080p,3:4,5,810,1080,24,102515.625,0.0000018,0.185,92.264,138.40,140
seedance-1-0-lite,1080p,3:4,6,810,1080,24,123018.75,0.0000018,0.221,110.717,166.08,170
seedance-1-0-lite,1080p,3:4,7,810,1080,24,143521.875,0.0000018,0.258,129.170,193.75,200
seedance-1-0-lite,1080p,3:4,8,810,1080,24,164025,0.0000018,0.295,147.623,221.43,230
seedance-1-0-lite,1080p,3:4,9,810,1080,24,184528.125,0.0000018,0.332,166.075,249.11,250
seedance-1-0-lite,1080p,3:4,10,810,1080,24,205031.25,0.0000018,0.369,184.528,276.79,280
seedance-1-0-lite,1080p,3:4,11,810,1080,24,225534.375,0.0000018,0.406,202.981,304.47,310
seedance-1-0-lite,1080p,3:4,12,810,1080,24,246037.5,0.0000018,0.443,221.434,332.15,340
seedance-1-0-lite,1080p,9:16,3,1080,1920,24,145800,0.0000018,0.262,131.220,196.83,200
seedance-1-0-lite,1080p,9:16,4,1080,1920,24,194400,0.0000018,0.350,174.960,262.44,270
